alpha,bandwidth_cv_folds,bandwidth_cv_path,bandwidth_cv_score,bandwidth_fine_grid_size,bandwidth_grid_size,bandwidth_manifold,bandwidth_scale_x,bandwidth_scale_z,bandwidth_search,bandwidth_selection,bandwidth_theory_mode,bandwidth_x,bandwidth_z,best_intensity_plot_dir,best_intensity_plot_files,best_intensity_plot_metadata,best_intensity_plot_repetition,best_model_path,best_repeat,beta,boundary_correction,correction_type,covariate_sampler,cv_save_runtime_seconds,dnn_architecture,dnn_architecture_rate_exponent,dnn_architecture_tag,dnn_depth,dnn_hidden_layers,dnn_integration_points,dnn_quadrature_mode,dnn_width,epsilon,event_dim,expected_count,fit_runtime_seconds,gaussian_cutoff,hellinger_runtime_seconds,intensity_plot_created_this_run,kernel,kernel_cv_max_events_per_replicate,kernel_cv_max_replicates,manifold_input,manifold_learning,manifold_type,mean_observed_count,mesh_resolution,method,metrics_update_runtime_seconds,metrics_write_runtime_seconds,model_path_tmp,model_save_runtime_seconds,model_saved,model_selection_runtime_seconds,model_suffix,n,output_activation,plot_after_repetitions,plot_runtime_seconds,postprocess_runtime_seconds,repetition,runtime_seconds,save_model_policy,scenario,seed,setting_hash,simulate_runtime_seconds,squared_hellinger,support,support_type,theory_rate_exponent,total_events,use_gaussian_cutoff,validation_quadrature_method,validation_z_chunk_size,z_dim
,,,,,,,,,,,,,,,,,,results/models/best/5ca1bdb0d2d2fb03b986273349133804/best_model.pt,2,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[56, 56, 56]",128,stochastic,56,0.0001,1,30.0,3.2595159420000073,,0.002576238999836278,False,,,,,,,30.265822784810126,,dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,0.0064524599999913335,0.004077813000094466,results/models/tmp/5ca1bdb0d2d2fb03b986273349133804_rep1.pt,0.0029770749999897816,False,0.004202285000019401,.pt,316,relu,3,0.0,1.9142166590002034,1,5.251662379999971,best_repeat,compositional,2382299921,5ca1bdb0d2d2fb03b986273349133804,0.07535353999992367,0.17546391227311595,euclidean1d,euclidean,0.6666666666666666,9564,,,,0
,,,,,,,,,,,,,,results/plots/intensity/compositional/euclidean1d/zdim_0/n_316/dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,"[""results/plots/intensity/compositional/euclidean1d/zdim_0/n_316/dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq/intensity_1d.png""]",results/plots/intensity/compositional/euclidean1d/zdim_0/n_316/dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq/best_repeat_plot_metadata.json,2,results/models/best/5ca1bdb0d2d2fb03b986273349133804/best_model.pt,2,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[56, 56, 56]",128,stochastic,56,0.0001,1,30.0,4.289483646999997,,0.0025358160000905627,True,,,,,,,29.740506329113924,,dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,0.011273530999915238,0.004673843999853489,results/models/tmp/5ca1bdb0d2d2fb03b986273349133804_rep2.pt,0.0027651489999698242,True,0.005970317999981489,.pt,316,relu,3,0.7354998859998432,1.988559688000123,2,7.093359508000049,best_repeat,compositional,2382299922,5ca1bdb0d2d2fb03b986273349133804,0.07728047099999458,0.08438422741714535,euclidean1d,euclidean,0.6666666666666666,9398,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/cb1cb8fe488906d9d94ca98490c5f12d/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[64, 64, 64]",128,stochastic,64,0.0001,1,30.0,6.050436509999827,,0.7711986710000929,False,,,,,,,29.986,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.00765410899998642,0.004741769000020213,results/models/tmp/cb1cb8fe488906d9d94ca98490c5f12d_rep1.pt,0.0027506090000315453,True,0.004011418999880334,.pt,1000,softplus,3,0.0,1.9061766370000441,1,8.962867661000018,best_repeat,compositional,1808043525,cb1cb8fe488906d9d94ca98490c5f12d,0.23505584300005467,0.020003067387178226,euclidean1d,euclidean,0.6666666666666666,29986,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/cb1cb8fe488906d9d94ca98490c5f12d/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[64, 64, 64]",128,stochastic,64,0.0001,1,30.0,7.650351565999927,,0.7741563590000169,False,,,,,,,29.86,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.0038026560000616882,0.0052595020001717785,results/models/tmp/cb1cb8fe488906d9d94ca98490c5f12d_rep0.pt,0.002948271000150271,False,0.0029386369999429007,.pt,1000,softplus,3,0.0,1.9371939870000006,0,10.63115681599993,best_repeat,compositional,1808043524,cb1cb8fe488906d9d94ca98490c5f12d,0.2694549039999856,0.10348899810501339,euclidean1d,euclidean,0.6666666666666666,29860,,,,0
,,,,,,,,,,,,,,results/plots/intensity/compositional/euclidean1d/zdim_0/n_1000/dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,"[""results/plots/intensity/compositional/euclidean1d/zdim_0/n_1000/dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq/intensity_1d.png""]",results/plots/intensity/compositional/euclidean1d/zdim_0/n_1000/dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq/best_repeat_plot_metadata.json,1,results/models/best/cb1cb8fe488906d9d94ca98490c5f12d/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[64, 64, 64]",128,stochastic,64,0.0001,1,30.0,5.745393715999853,,0.748986640000112,True,,,,,,,29.72,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.01371685900016928,0.005428629999869372,results/models/tmp/cb1cb8fe488906d9d94ca98490c5f12d_rep2.pt,0.0028119829999013746,False,0.005350111999860019,.pt,1000,softplus,3,0.5964785410001241,1.934051780000118,2,9.261426278000044,best_repeat,compositional,1808043526,cb1cb8fe488906d9d94ca98490c5f12d,0.23651560099983726,0.05228591177759912,euclidean1d,euclidean,0.6666666666666666,29720,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/2eb6808dff5399a0dfca9bc5422c33c2/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[64, 64, 64]",128,stochastic,64,0.0001,1,30.0,7.926961354000014,,0.0026093270000728808,False,,,,,,,29.86,,dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,0.0037211759999991045,0.004561951000141562,results/models/tmp/2eb6808dff5399a0dfca9bc5422c33c2_rep0.pt,0.0026643960000001243,False,0.0027725319998808118,.pt,1000,relu,3,0.0,1.9991923919999408,0,10.162923399999954,best_repeat,compositional,1808043524,2eb6808dff5399a0dfca9bc5422c33c2,0.23416032699992684,0.1032812390371793,euclidean1d,euclidean,0.6666666666666666,29860,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/2eb6808dff5399a0dfca9bc5422c33c2/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[64, 64, 64]",128,stochastic,64,0.0001,1,30.0,5.899543607999931,,0.0025284739999733574,False,,,,,,,29.986,,dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,0.009805271000004723,0.004921903000195016,results/models/tmp/2eb6808dff5399a0dfca9bc5422c33c2_rep1.pt,0.0026801930000601715,True,0.0038674799998261733,.pt,1000,relu,3,0.0,1.8949422690002393,1,8.042346051000095,best_repeat,compositional,1808043525,2eb6808dff5399a0dfca9bc5422c33c2,0.24533169999995152,0.020060224352622887,euclidean1d,euclidean,0.6666666666666666,29986,,,,0
,,,,,,,,,,,,,,results/plots/intensity/compositional/euclidean1d/zdim_0/n_1000/dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,"[""results/plots/intensity/compositional/euclidean1d/zdim_0/n_1000/dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq/intensity_1d.png""]",results/plots/intensity/compositional/euclidean1d/zdim_0/n_1000/dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq/best_repeat_plot_metadata.json,1,results/models/best/2eb6808dff5399a0dfca9bc5422c33c2/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[64, 64, 64]",128,stochastic,64,0.0001,1,30.0,5.605974083999854,,0.0025471810001818085,True,,,,,,,29.72,,dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,0.012543585000003077,0.0050173700001323596,results/models/tmp/2eb6808dff5399a0dfca9bc5422c33c2_rep2.pt,0.0024193009999180504,False,0.004674617999853581,.pt,1000,relu,3,0.7059233590000531,1.9061716429998796,2,8.449016510999854,best_repeat,compositional,1808043526,2eb6808dff5399a0dfca9bc5422c33c2,0.2284002439998858,0.05227974508285567,euclidean1d,euclidean,0.6666666666666666,29720,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/7ecdf119241c91eb212fe542c31f7463/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,4,"[80, 80, 80, 80]",128,stochastic,80,0.0001,1,30.0,13.297934951000116,,0.7621963359999882,False,,,,,,,29.99146110056926,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.009998457999927268,0.005991158000142605,results/models/tmp/7ecdf119241c91eb212fe542c31f7463_rep1.pt,0.002924710000115738,True,0.00430759300002137,.pt,3162,softplus,3,0.0,1.9045205610000266,1,16.70442203000016,best_repeat,compositional,1298103781,7ecdf119241c91eb212fe542c31f7463,0.7397701820000293,0.002334172380803614,euclidean1d,euclidean,0.6666666666666666,94833,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/7ecdf119241c91eb212fe542c31f7463/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,4,"[80, 80, 80, 80]",128,stochastic,80,0.0001,1,30.0,14.124744387999954,,0.7897797889997946,False,,,,,,,30.04459203036053,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.0054221449997839954,0.006415680999907636,results/models/tmp/7ecdf119241c91eb212fe542c31f7463_rep0.pt,0.003109405000031984,False,0.0030213899999580462,.pt,3162,softplus,3,0.0,1.8757822920001672,0,17.50961740799994,best_repeat,compositional,1298103780,7ecdf119241c91eb212fe542c31f7463,0.7193109390000245,0.004065853412564356,euclidean1d,euclidean,0.6666666666666666,95001,,,,0
